generator,classifier,size_multiplier,n_evaluations,auc_mean,auc_std,accuracy_mean,sensitivity_mean,specificity_mean,precision_mean,f1_mean,brier_mean
GAUSSIAN_EMPIRICAL,rfc,1,15,0.9997777777777778,0.0004114755998989363,0.9908333333333333,0.9893333333333333,0.9933333333333334,0.996,0.9925776001122097,0.013793746726116671
GAUSSIAN_EMPIRICAL,rfc,2,15,0.9998222222222223,0.00039574455980310845,0.9941666666666666,0.996,0.9911111111111112,0.9947692307692307,0.995352743117449,0.009053629793873615
GAUSSIAN_EMPIRICAL,rfc,3,15,0.9998666666666668,0.0003737412737209074,0.9958333333333333,0.9973333333333334,0.9933333333333334,0.9961025641025641,0.9966860764507823,0.007159335631012698
GAUSSIAN_EMPIRICAL,xgb,1,15,0.995688888888889,0.005588347665422135,0.9741666666666667,0.9760000000000001,0.9711111111111111,0.9825148436186069,0.9790905679003274,0.020670747105032205
GAUSSIAN_EMPIRICAL,xgb,2,15,0.9968444444444445,0.004136302057272301,0.975,0.9746666666666666,0.9755555555555555,0.9850485180812997,0.9796558997824181,0.018443094650865532
GAUSSIAN_EMPIRICAL,xgb,3,15,0.9988444444444444,0.0019593757779337085,0.9858333333333333,0.9893333333333333,0.98,0.988155795651594,0.9886440149169556,0.010711651603196514
REAL,lr,1,5,0.9996,0.0008944271909999374,0.9949999999999999,0.992,1.0,1.0,0.995959595959596,0.00899649894842178
REAL,mlp,1,5,0.992,0.011065461781798576,0.9574999999999999,0.952,0.9666666666666666,0.9795782142644291,0.9653633404577571,0.07978556667794387
REAL,rfc,1,5,1.0,0.0,0.9925,0.9960000000000001,0.9866666666666667,0.9923076923076923,0.994058229352347,0.009291283779124837
REAL,xgb,1,5,0.9998666666666667,0.0002981423969999934,0.9949999999999999,0.992,1.0,1.0,0.995959595959596,0.003902719708275981
